gene,Fish_kME
isogroup13426,0
isogroup13435,0
isogroup13439,0
isogroup13446,0
isogroup1345,0
isogroup13451,0
isogroup13457,0
isogroup13458,0
isogroup13459,0
isogroup13460,0
isogroup13462,0
isogroup13466,0
isogroup13476,0
isogroup13478,0
isogroup13479,0
isogroup13480,0
isogroup13481,0
isogroup13483,0
isogroup13485,0
isogroup13491,0
isogroup135,0
isogroup1350,0
isogroup13501,0
isogroup13504,0
isogroup13505,0
isogroup13506,0
isogroup13509,0
isogroup13513,0
isogroup13516,0
isogroup1352,0
isogroup13520,0
isogroup13521,0
isogroup13523,0
isogroup13524,0
isogroup13530,0
isogroup13537,0
isogroup13538,0
isogroup1354,0
isogroup13541,0
isogroup13542,0
isogroup13546,0
isogroup13547,0
isogroup1355,0
isogroup13551,0
isogroup13557,0
isogroup13560,0
isogroup13569,0
isogroup1357,0
isogroup13570,0
isogroup13573,0
isogroup13582,0
isogroup13589,0
isogroup1359,0
isogroup13590,0
isogroup13602,0
isogroup13608,0
isogroup13613,0
isogroup13615,0
isogroup1362,0
isogroup13620,0
isogroup13622,0
isogroup13624,0
isogroup13626,0
isogroup13627,0
isogroup13628,0
isogroup13629,0
isogroup13631,0
isogroup13635,0
isogroup13640,0
isogroup13643,0
isogroup13644,0
isogroup13646,0
isogroup13649,0
isogroup1365,0
isogroup13652,0
isogroup13653,0
isogroup13654,0
isogroup13656,0
isogroup13659,0
isogroup13662,0
isogroup13665,0
isogroup13675,0
isogroup13681,0
isogroup13683,0
isogroup13685,0
isogroup13687,0
isogroup13688,0
isogroup13689,0
isogroup13695,0
isogroup13696,0
isogroup13699,0
isogroup137,0
isogroup13701,0
isogroup13706,0
isogroup1371,0
isogroup13716,0
isogroup13717,0
isogroup1372,0
isogroup13721,0
isogroup13723,0
isogroup13729,0
isogroup13734,0
isogroup13737,0
isogroup13740,0
isogroup13744,0
isogroup13746,0
isogroup13747,0
isogroup13748,0
isogroup13749,0
isogroup13751,0
isogroup13756,0
isogroup13758,0
isogroup13759,0
isogroup13760,0
isogroup13761,0
isogroup13763,0
isogroup13764,0
isogroup13767,0
isogroup13768,0
isogroup13769,0
isogroup1377,0
isogroup13778,0
isogroup13780,0
isogroup13783,0
isogroup13786,0
isogroup13787,0
isogroup13793,0
isogroup13797,0
isogroup13798,0
isogroup13799,0
isogroup138,0
isogroup1380,0
isogroup13801,0
isogroup13808,0
isogroup13816,0
isogroup13820,0
isogroup13824,0
isogroup13825,0
isogroup13827,0
isogroup1383,0
isogroup13835,0
isogroup13848,0
isogroup13854,0
isogroup13856,0
isogroup1386,0
isogroup13862,0
isogroup13864,0
isogroup13865,0
isogroup13866,0
isogroup13874,0
isogroup13877,0
isogroup1388,0
isogroup13881,0
isogroup13884,0
isogroup13886,0
isogroup13888,0
isogroup13890,0
isogroup13891,0
isogroup13894,0
isogroup13899,0
isogroup139,0
isogroup13907,0
isogroup13908,0
isogroup13910,0
isogroup13914,0
isogroup13919,0
isogroup13922,0
isogroup13924,0
isogroup13926,0
isogroup13928,0
isogroup13931,0
isogroup13932,0
isogroup13937,0
isogroup13943,0
isogroup13946,0
isogroup1395,0
isogroup13959,0
isogroup13966,0
isogroup13978,0
isogroup13982,0
isogroup13983,0
isogroup13985,0
isogroup13986,0
isogroup13988,0
isogroup13989,0
isogroup13992,0
isogroup14001,0
isogroup14004,0
isogroup14005,0
isogroup14010,0
isogroup14012,0
isogroup14013,0
isogroup14015,0
isogroup14022,0
isogroup14028,0
isogroup14029,0
isogroup14030,0
isogroup14033,0
isogroup14040,0
isogroup14047,0
isogroup14049,0
isogroup14052,0
isogroup14056,0
isogroup1406,0
isogroup14062,0
isogroup14065,0
isogroup14070,0
isogroup14075,0
isogroup14083,0
isogroup14084,0
isogroup14087,0
isogroup14089,0
isogroup14095,0
isogroup141,0
isogroup14106,0
isogroup14109,0
isogroup14111,0
isogroup14112,0
isogroup14115,0
isogroup14117,0
isogroup14121,0
isogroup14122,0
isogroup14128,0
isogroup14130,0
isogroup14132,0
isogroup14134,0
isogroup14140,0
isogroup14141,0
isogroup14148,0
isogroup14149,0
isogroup14151,0
isogroup14161,0
isogroup14163,0
isogroup14170,0
isogroup14173,0
isogroup14174,0
isogroup1418,0
isogroup14184,0
isogroup14188,0
isogroup14189,0
isogroup14190,0
isogroup14195,0
isogroup14200,0
isogroup14201,0
isogroup14211,0
isogroup14214,0
isogroup14216,0
isogroup1422,0
isogroup14221,0
isogroup14223,0
isogroup14225,0
isogroup14239,0
isogroup14244,0
isogroup14246,0
isogroup14251,0
isogroup14256,0
isogroup14262,0
isogroup14270,0
isogroup14271,0
isogroup14276,0
isogroup14283,0
isogroup14287,0
isogroup1429,0
isogroup14290,0
isogroup14291,0
isogroup14299,0
isogroup143,0
isogroup14300,0
isogroup14305,0
isogroup14308,0
isogroup1431,0
isogroup14310,0
isogroup14313,0
isogroup14314,0
isogroup14315,0
isogroup14324,0
isogroup14326,0
isogroup14330,0
isogroup14332,0
isogroup14334,0
isogroup14336,0
isogroup1434,0
isogroup14341,0
isogroup14346,0
isogroup14352,0
isogroup14353,0
isogroup14357,0
isogroup14358,0
isogroup14360,0
isogroup14361,0
isogroup14366,0
isogroup14367,0
isogroup14372,0
isogroup1438,0
isogroup14381,0
isogroup14383,0
isogroup14386,0
isogroup14393,0
isogroup14396,0
isogroup14398,0
isogroup144,0
isogroup14404,0
isogroup14407,0
isogroup14410,0
isogroup14412,0
isogroup14413,0
isogroup14416,0
isogroup14417,0
isogroup14420,0
isogroup14422,0
isogroup14425,0
isogroup1443,0
isogroup14434,0
isogroup14439,0
isogroup14444,0
isogroup14445,0
isogroup14451,0
isogroup14457,0
isogroup14458,0
isogroup1446,0
isogroup14461,0
isogroup14462,0
isogroup14467,0
isogroup14468,0
isogroup1447,0
isogroup14472,0
isogroup14480,0
isogroup14486,0
isogroup14493,0
isogroup14495,0
isogroup1450,0
isogroup14500,0
isogroup14503,0
isogroup14505,0
isogroup14506,0
isogroup14508,0
isogroup14511,0
isogroup14516,0
isogroup14517,0
isogroup14519,0
isogroup14520,0
isogroup14529,0
isogroup14532,0
isogroup14533,0
isogroup14537,0
isogroup14540,0
isogroup14542,0
isogroup14543,0
isogroup14545,0
isogroup14547,0
isogroup14552,0
isogroup14558,0
isogroup1456,0
isogroup14560,0
isogroup14562,0
isogroup14563,0
isogroup14564,0
isogroup14565,0
isogroup14566,0
isogroup14568,0
isogroup14569,0
isogroup14571,0
isogroup14573,0
isogroup14575,0
isogroup14577,0
isogroup14580,0
isogroup14581,0
